,table,description,used_where_application,used_where_view,relevance,still_in_use
4mssimages,,,,,,
AT6000old,,,,,,
HU_gran,,,,,,
HU_libraries,,,,,,
VDIB,,,,,,
aut,,,,,,
autGND,,,,,,
autGND_copy,,,,,,
autGNDtest,,,,,,
autPND,,,,,,
aut_99,,,,,,
aut_copy,,,,,,
autgndmelk,,,,,,
autgndmelk_1250,,,,,,
cat_AT7500,,,,,,
citshort,,,,,,
cmda,,,,,,
cmda_copy,,,,,,
cmda_dat,,,,,,
cmda_metrics,,,,,,
cmda_pers,,,,,,
digi_AT3000,,,,,,
digi_AT3000-52,,,,,,
digi_books,,,,,,
digi_books_orig,,,,,,
digi_mss,,,,,,
goettweig_konkoord,,,,,,
goettweig_neu,,,,,,
gridinfos,,,,,,
images_stempel,,,,,,
imgEinbaende,,,,,,
initia,,,,,,
initia3,,,,,,
initia_unverknüpft,,,,,,
ktn_content,,,,,,
library,,,,,,
library_maps,,,,,,
lit,,,,,,
litkat,,,,,,
litsig,,,,,,
litsig_2020_08_15,,,,,,
litsig_copy,,,,,,
liturl,,,,,,
liturl_cg,,,,,,
manuscripta_stat,,,,,,
manuscripts,,,,,,
manuscripts2020_08_10,,,,,,
manuscriptsXXXX,,,,,,
manuscripts_2020_08_14,,,,,,
manuscripts_copy,,,,,,
manuscripts_copy1,,,,,,
manuscripts_copy2020_08_04,,,,,,
manuscripts_digi,,,,,,
manuscripts_digi_2020_02_15,,,,,,
manuscripts_digi_cg,,,,,,
melk2000_manu,,,,,,
melkNON_manu,,,,,,
melk_bilderalt,,,,,,
melk_hss,,,,,,
melk_hss_orig,,,,,,
melk_manu,,,,,,
melk_manu_orig,,,,,,
melk_sig,,,,,,
melk_sig_EW,,,,,,
melk_sig_EW_copy1,,,,,,
melk_sigdat,,,,,,
mss,,,,,,
mss_buchmaler,,,,,,
mss_desunt,,,,,,
mss_einbaende,,,,,,
mss_komplementaer,,,,,,
mss_prov,,,,,,
mss_schrift,,,,,,
mss_teile,,,,,,
mss_teile_copy,,,,,,
mssdesc,,,,,,
mssdesc_copy1,,,,,,
mssimages,,,,,,
mssimages_copy,,,,,,
onb_konkordanz,,,,,,
op_content,,,,,,
personen,,,,,,
query_errors,,,,,,
salzburg,,,,,,
schlaegl,,,,,,
serm_hoedl,,,,,,
serm_schneyer,,,,,,
stpaul_hss,,,,,,
stpaul_hss_copy,,,,,,
tmp_filelist,,,,,,
users,,,,,,
users_copy1,,,,,,
visitors,,,,,,
visitors_20200811,,,,,,
visitors_copy,,,,,,
visitors_copy1,,,,,,
visitors_copy2,,,,,,
